game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Advanced Warfare Zombies,,Outbreak,wle6xk48=zqom0w21; 68kmd73l=0q5x6en1; p8509kvn=1dk9654l,PlayStation 4,2m 31.000s,https://youtu.be/35wLcTcItds,,solo,2017-09-14,1,DanSuper,,,,http://www.speedrun.com/awzombies/run/z0eox2jm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=xqkdkyl9,PlayStation 3,3m 52.000s,http://youtu.be/SN-jkVxSBdw,,solo,2017-08-27,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/z13rn0wm,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,2m 49.919s,https://youtu.be/Je5OtkACsoE,,solo,2017-08-22,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/yl9q1eny,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,2m 55.000s,http://youtu.be/CmrtF3hEv_4,,solo,2017-08-21,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/zxvgle8y,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,2m 55.000s,http://youtu.be/CmrtF3hEv_4,,solo,2017-08-21,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/z5orv9ey,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=81pggg17,PlayStation 3,4m 46.000s,https://youtu.be/WaXrn5NvuYs,,solo,2017-08-20,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/z5ord3ny,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PlayStation 3,3m 40.000s,https://youtu.be/YTR63E0M0pk,,solo,2017-08-20,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/yo476q1m,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PlayStation 3,3m 5.000s,https://youtu.be/aupxMU6eWXY,,solo,2017-08-20,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/y9793e2m,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PlayStation 3,3m 2.000s,https://youtu.be/5HO67xlb8Vc,,solo,2017-08-20,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/z13rx6jm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PlayStation 3,4m 26.000s,https://youtu.be/8kHHv-SJtSQ,,solo,2017-08-20,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/mk4g5w3y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PlayStation 3,17m 1.000s,https://www.youtube.com/watch?v=E1CJDy0i4G8,,solo,2017-01-05,1,DanSuper,,,,http://www.speedrun.com/bo2zombies/run/8m7v44wm,verified
