game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,Xbox One,6m 25.000s,https://www.twitch.tv/videos/733932837,,solo,2020-09-07,1,NightOwl606,,,,http://www.speedrun.com/iwzombies/run/z1od25jm,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,15m 44.000s,https://www.twitch.tv/videos/733991616,,solo,2020-09-07,1,NightOwl606,,,,http://www.speedrun.com/iwzombies/run/ylv3e6km,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,Xbox One,13m 27.000s,https://www.twitch.tv/videos/733996495,,solo,2020-09-07,1,NightOwl606,,,,http://www.speedrun.com/iwzombies/run/m751w00z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=81w486vq; onvyp7nm=0139rzx1,Xbox One,22m 26.000s,https://www.twitch.tv/videos/734587493,,co-op,2020-09-07,3,NightOwl606,bonecollectorjr1,GiesTSubatomic,,http://www.speedrun.com/iwzombies/run/m751x30z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=81w486vq; onvyp7nm=0139rzx1,Xbox One,22m 30.000s,https://www.twitch.tv/videos/734593648,,co-op,2020-09-07,2,bonecollectorjr1,NightOwl606,,,http://www.speedrun.com/iwzombies/run/z535xkgy,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,Xbox One,22m 8.000s,https://www.twitch.tv/videos/733660917,,solo,2020-09-06,1,NightOwl606,,,,http://www.speedrun.com/iwzombies/run/yo3v69jy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,Xbox One,22m 5.000s,https://www.twitch.tv/videos/733768822,,co-op,2020-09-06,2,NightOwl701,NightOwl606,,,http://www.speedrun.com/iwzombies/run/y2d9729z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,Xbox One,21m 50.000s,Https://www.twitch.tv/videos/733777233,,co-op,2020-09-06,2,NightOwl606,NightOwl701,,,http://www.speedrun.com/iwzombies/run/z09w7dez,verified
