game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qox3x54q; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,2h 19m 46.000s,https://youtu.be/Cnd4rKRTZGM,,co-op,2024-12-17,3,Novixk,kunkiu,Xn_Smoke,,http://www.speedrun.com/BO6Zombies/run/z083v3jm,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qox3x54q; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,2h 19m 46.000s,https://youtu.be/Cnd4rKRTZGM,,co-op,2024-12-16,3,Novixk,kunkiu,Xn_Smoke,,http://www.speedrun.com/BO6Zombies/run/ylp4j22m,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qox3x54q; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,2h 19m 41.000s,https://youtu.be/Cnd4rKRTZGM,,co-op,2024-12-14,3,Novixk,kunkiu,Xn_Smoke,,http://www.speedrun.com/BO6Zombies/run/y9p26e2m,rejected
