game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=5le3mzpq,PC,14m 46.033s,https://youtu.be/zPXz4OI7bYY,,solo,2020-10-09,1,Javi2580,,,,http://www.speedrun.com/bo3zombies/run/zplrpogm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=0q5xgzr1,PC,15m 43.044s,https://youtu.be/2sRise7FQQs,,solo,2020-10-06,1,Javi2580,,,,http://www.speedrun.com/bo3zombies/run/ywd8d72z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,14m 25.046s,https://youtu.be/MQShRo_8_xg,,solo,2020-10-04,1,Javi2580,,,,http://www.speedrun.com/bo3zombies/run/y910o7km,verified
