game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PC,13m 8.720s,https://www.youtube.com/watch?v=fPV_HFxdYcg,,solo,2024-03-01,1,Trxckins,,,,http://www.speedrun.com/iwzombies/run/mrvee17z,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PC,15m 4.150s,https://www.twitch.tv/its_trxckins/video/2077104534,,solo,2024-02-29,1,Trxckins,,,,http://www.speedrun.com/iwzombies/run/y6vpk6jm,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PC,15m 39.078s,,,solo,2024-02-29,1,Trxckins,,,,http://www.speedrun.com/iwzombies/run/y9j2rgrm,rejected
