game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=mlnp4rd1; dlo750j8=jq6w74jl,PlayStation 4,7m 43.000s,https://youtu.be/AMjWgZlsNb0,,solo,2021-02-09,1,SkyIsFound,,,,http://www.speedrun.com/bocwz/run/mr4n4e2z,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,11m 2.000s,https://www.youtube.com/watch?v=7ZjT4jVDh48,,solo,2020-12-25,1,SkyIsFound,,,,http://www.speedrun.com/bo3zombies/run/y6r865qy,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,9m 2.000s,https://www.youtube.com/watch?v=ias0KobJIiY,,solo,2020-12-23,1,SkyIsFound,,,,http://www.speedrun.com/bo3zombies/run/m75v915z,rejected
