game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO3,25K Points,68kmpxzl=013w4jyq; kn0j593l=z19mgeyl; 789671q8=zqopwpx1,PlayStation 4,25m 41.000s,https://youtu.be/Gr_Uh4_VQx8,,co-op,2023-02-19,2,BuriedLiving,kosobud,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zglr590m,verified
Call of Duty: Black Ops 3 Category Extension,,25K Points,onvx6jw8=1gnvej8l; 6njxv458=q5vyxx2l; kn034j0n=12vroo4q,PlayStation 4,25m 41.000s,https://www.youtube.com/watch?v=Gr_Uh4_VQx8,,co-op,2023-02-18,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zce/run/m7v45n9m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=0q5x78m1,PlayStation 4,3m 57.000s,https://youtu.be/Gr_Uh4_VQx8,,co-op,2023-03-16,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/zpgk7egz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=jqzv9eml,PlayStation 4,4m 7.000s,https://youtu.be/Gr_Uh4_VQx8,,co-op,2023-03-16,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/yolq1gdy,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PlayStation 4,18m 14.000s,https://youtu.be/Gr_Uh4_VQx8,,co-op,2023-03-16,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/meenr53m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PlayStation 4,18m 14.000s,https://youtu.be/nVZmSI6SZRQ,,co-op,2023-03-01,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/y4g6veqy,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=0q5x78m1,PlayStation 4,3m 57.000s,https://youtu.be/nVZmSI6SZRQ,,co-op,2023-03-01,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/zxnqpdgm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=jqzv9eml,PlayStation 4,4m 8.000s,https://youtu.be/nVZmSI6SZRQ,,co-op,2023-03-01,2,BuriedLiving,kosobud,,,http://www.speedrun.com/bo3zombies/run/z1q90ojy,verified
