game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,12m 57.000s,https://www.youtube.com/watch?v=BbyxQgDtnmI,,co-op,2023-10-31,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/zxwo2pkm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PlayStation 4,13m 13.000s,https://www.youtube.com/watch?v=5288v24N2RI,,co-op,2023-10-31,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/mr2nk58y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PlayStation 4,14m 29.190s,https://www.youtube.com/watch?v=vOH15bkMaB4,,co-op,2023-10-29,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/zxwo9qkm,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PlayStation 4,13m 12.000s,https://www.youtube.com/watch?v=zfoCl16GnzE,,co-op,2023-10-29,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/y6q9326z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PlayStation 4,12m 56.000s,https://www.youtube.com/live/s26M9V9GMNw?si=lpgyDlz9SZDi8659,,co-op,2023-10-29,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/y8ke3j1y,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=9qjwxn01,PlayStation 4,12m 49.000s,https://www.youtube.com/watch?v=YVU7kYWfuCQ,,co-op,2023-10-29,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/mr21g4dy,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PlayStation 4,11m 54.000s,https://www.youtube.com/watch?v=_GBReOa8QvU,,co-op,2023-10-26,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/z1krk0gy,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PlayStation 4,11m 55.000s,https://www.youtube.com/live/R4jmax67214?si=L4vi7ZijQAeVUlQU,,co-op,2023-10-26,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/yoo7l5dy,rejected
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=0q56pm1p; 2lg7k6lp=5le3mzpq,PlayStation 4,15m 15.500s,https://www.youtube.com/watch?v=MJb7gAM7vt0,,co-op,2023-10-25,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/z1krqgry,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PlayStation 4,12m 56.000s,https://www.youtube.com/live/s26M9V9GMNw?si=BKHWMahSIKdEjkws,,co-op,2023-10-24,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/y6qdd01z,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PlayStation 4,12m 36.000s,https://www.youtube.com/watch?v=RVQagRz7vt0,,co-op,2023-10-08,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/yvv99l6y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,16m 58.000s,https://www.youtube.com/watch?v=YyKYcyqtJqE,,co-op,2023-09-26,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/mkq2g9lm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,16m 58.000s,https://www.youtube.com/watch?v=YyKYcyqtJqE,,co-op,2023-09-25,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/y2k17ewy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,16m 58.000s,https://www.youtube.com/watch?v=YyKYcyqtJqE,,co-op,2023-09-25,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/znerqxlz,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=0q56pm1p; gnx65jnv=9qjwxn01,PlayStation 4,14m 13.000s,https://www.youtube.com/live/FzmJ84l35wU?si=o-w4JGgqJlY5LkDG,,co-op,2023-09-25,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/z0x1129z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PlayStation 4,15m 39.000s,https://www.youtube.com/live/kyVI-OkwdM4?si=zmjLvtHqY-AzQFtd,,co-op,2023-09-25,2,YTxdBlackwood,Jackaboy2081,,,http://www.speedrun.com/bo3zombies/run/y2k1165y,verified
