game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 52.970s,https://www.youtube.com/watch?v=FLV3-z9iMAY,,solo,2018-01-31,1,Cregavitch,,,,http://www.speedrun.com/bo3zombies/run/z5ogexdy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,3m 18.370s,https://www.youtube.com/watch?v=PSSwlNABZvU,,solo,2018-01-30,1,Cregavitch,,,,http://www.speedrun.com/bo3zombies/run/y97dx7em,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,3m 8.720s,https://www.youtube.com/watch?v=2bGY3wribFM,,solo,2018-01-30,1,Cregavitch,,,,http://www.speedrun.com/bo3zombies/run/y67ex9qm,verified
