game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,Xbox One,10m 28.078s,https://www.youtube.com/watch?v=3jGgZv9LldQ,,solo,2020-09-02,1,ch3ifprime,,,,http://www.speedrun.com/iwzombies/run/zx2ex4em,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,Xbox One,10m 57.668s,https://www.youtube.com/watch?v=rwwYWyIhpKg,,solo,2020-09-02,1,ch3ifprime,,,,http://www.speedrun.com/iwzombies/run/yw8lwe0y,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,Xbox One,9m 29.665s,https://www.youtube.com/watch?v=kXPyCRnYUxY,,solo,2020-09-02,1,ch3ifprime,,,,http://www.speedrun.com/iwzombies/run/yok1q75z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,Xbox One,3m 18.900s,https://www.youtube.com/watch?v=kGuaPuoTKhI&feature=youtu.be,,solo,2020-09-02,1,ch3ifprime,,,,http://www.speedrun.com/iwzombies/run/yd5kvl0m,rejected
