game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,16m 59.233s,https://youtu.be/dDwTdm-elHA,,co-op,2026-02-14,2,TangoAlphaMango,kirch56,,,http://www.speedrun.com/bo3zombies/run/mkrjqnlz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PC,22m 16.798s,https://youtu.be/SPwnxbTblC4,,co-op,2026-02-12,2,TangoAlphaMango,Kirch56,,,http://www.speedrun.com/bo3zombies/run/z0kv3ljm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PC,22m 5.333s,https://youtu.be/Roxjuoen74M,,co-op,2026-02-12,2,TangoAlphaMango,kirch56,,,http://www.speedrun.com/bo3zombies/run/y40p82dz,verified
