game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,Xbox 360,3m 55.750s,https://youtu.be/t5Omi8fUlcw,,solo,2023-04-16,1,Da_BLT_in_LGBT,,,,http://www.speedrun.com/bo2zombies/run/zqelxw9z,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=0q5ovwn1,Xbox 360,3m 58.282s,https://youtu.be/gjC4fxwvHDA,,solo,2023-04-14,1,Da_BLT_in_LGBT,,,,http://www.speedrun.com/bo2zombies/run/meeqrkqm,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; yn23jdl5=81009651,Xbox 360,3m 32.533s,https://youtu.be/80wEYcJQHNY,,co-op,2023-04-13,2,Da_BLT_in_LGBT,VirdeZz,,,http://www.speedrun.com/bo2zombies/run/z5eq97dz,verified
