game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 25.000s,https://www.youtube.com/watch?v=5st6eutkGhM&feature=youtu.be,,solo,2019-10-09,1,Onex,,,,http://www.speedrun.com/bo2zombies/run/m3132egz,rejected
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PlayStation 3,3m 14.000s,https://www.youtube.com/watch?v=5WpG_M2_RGU,,co-op,2019-10-02,3,bigx2200_,Onex,kacpere222,,http://www.speedrun.com/bo2zombies/run/mk2ke21m,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=klrmdjqp; r8rq1rle=gq79z5yl,PlayStation 3,3m 17.000s,https://www.twitch.tv/videos/434841304,,co-op,2019-06-05,2,bigx2200_,Onex,,,http://www.speedrun.com/bozombies/run/mreqo17y,verified
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=21dwn4le; r8rq1rle=gq79z5yl,PlayStation 3,3m 19.000s,https://www.twitch.tv/videos/427976987,,co-op,2019-05-21,3,bigx2200_,Onex,kacpere222,,http://www.speedrun.com/bozombies/run/yv34rw8z,rejected
Call of Duty: Black Ops Zombies,,Kino Der Toten,68ko6qn2=jqzdwglp; r8rq1rle=gq79z5yl,PlayStation 3,5m 7.000s,https://www.youtube.com/watch?v=89fd-nt9YJw&feature=youtu.be,,solo,2019-04-22,1,Onex,,,,http://www.speedrun.com/bozombies/run/zn4np57m,verified
