game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=xqkd5nl9,PC,33m 9.520s,https://www.youtube.com/watch?v=sEDcVhZrQ_w&t=1s,,co-op,2024-02-28,2,MrZubby,LilBaisy,,,http://www.speedrun.com/bo3zombies/run/y22q69wy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,34m 57.630s,https://www.youtube.com/watch?v=AqbVdYZfeHg&t=3s,,co-op,2024-02-20,2,MrZubby,LilBaisy,,,http://www.speedrun.com/bo3zombies/run/zn28gdlz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,35m 44.540s,https://www.youtube.com/watch?v=_kPyPNcgHTU,,co-op,2024-02-19,2,MrZubby,LilBaisy,,,http://www.speedrun.com/bo3zombies/run/zglnqdjm,verified
