game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; wlegod2n=1gn2dp6l,PlayStation 5,50m 35.510s,https://youtu.be/hf3Llft-tLo,,co-op,2024-12-07,2,TheHunter1c7,zaccy,,,http://www.speedrun.com/BO6Zombies/run/y6g7o1jm,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; wlegod2n=1gn2dp6l,PlayStation 5,50m 35.000s,https://youtu.be/OycVxbRXgaE,,co-op,2024-12-07,2,TheHunter1c7,zaccy,,,http://www.speedrun.com/BO6Zombies/run/yoq46g7z,rejected
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,39m 25.000s,https://youtu.be/07zTyTuS6YI,,co-op,2024-04-21,2,TheHunter1c7,zaccy,,,http://www.speedrun.com/bocwz/run/ywg6j12z,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,52m 38.000s,https://youtu.be/OJYEKuvP3EE,,solo,2024-04-17,1,TheHunter1c7,,,,http://www.speedrun.com/bocwz/run/y22pno9y,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,48m 44.000s,https://youtu.be/oojDC77kSbk,,solo,2021-10-10,1,TheHunter1c7,,,,http://www.speedrun.com/bocwz/run/yo606w7y,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,54m 22.000s,https://youtu.be/KIabt_EqmAg,,solo,2021-10-10,1,TheHunter1c7,,,,http://www.speedrun.com/bocwz/run/z1x9x59m,rejected
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,54m 38.000s,https://youtu.be/hZSSJ2LyoBE,,solo,2021-10-09,1,TheHunter1c7,,,,http://www.speedrun.com/bocwz/run/y8ewrjxy,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,1h 4m 48.000s,https://youtu.be/J3fEPEmrLPM,,solo,2021-10-09,1,TheHunter1c7,,,,http://www.speedrun.com/bocwz/run/zp86r1vy,verified
