game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=0q56pm1p; ylp4kjlg=4lxgn5jq,PC,37m 47.517s,https://www.youtube.com/watch?v=iB2Wig7g1M0,,co-op,2021-04-16,2,neko-nya-nya,Skurkas,,,http://www.speedrun.com/bo3zombies/run/mkg4nr5y,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=0q56pm1p; onvmywnm=rqvx8v5l,PC,42m 19.070s,https://www.youtube.com/watch?v=0oV3PX_UXZU&ab_channel=actualposadist,,co-op,2021-01-18,2,neko-nya-nya,Shurkas,,,http://www.speedrun.com/bo3zombies/run/zqg6qd8m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=013xgok1,PC,41m 25.000s,https://www.youtube.com/watch?v=9VJjUOlfy1I&ab_channel=actualposadist,,co-op,2021-01-18,2,neko-nya-nya,Shurkas,,,http://www.speedrun.com/bo3zombies/run/yd9qln0z,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=013xgok1,PC,34m 32.383s,https://www.youtube.com/watch?v=kTXCIXOCvpI&ab_channel=actualposadist,,co-op,2021-01-18,2,neko-nya-nya,shurkas,,,http://www.speedrun.com/bo3zombies/run/z50on7ny,verified
