game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Zombies,,Der Riese,68ko6qn2=klrmdjqp; p85d45lg=gq79z5pl,PlayStation 3,3m 18.150s,https://www.youtube.com/watch?v=3iabWU8Uh-U,,co-op,2020-06-07,2,ZarakiDuBinks,MXRCO,,,http://www.speedrun.com/bozombies/run/z15p90wy,verified
Call of Duty: Black Ops Zombies,,Nacht Der Untoten,68ko6qn2=klrmdjqp; 7893j98w=5q82p7kq,PlayStation 3,5.012s,https://www.youtube.com/watch?v=tvQ2K9JujXo&feature=youtu.be,,co-op,2020-06-07,2,ZarakiDuBinks,MXRCO,,,http://www.speedrun.com/bozombies/run/yv6rldxz,rejected
