game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,3m 45.570s,https://youtu.be/F5JOJF9e9ZY,,solo,2025-03-24,1,Realbobcat,,,,http://www.speedrun.com/bo3zombies/run/m3w2ww4y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=21dv3g31,PC,34.030s,https://www.youtube.com/watch?v=B841FChZTbI,,solo,2025-01-26,1,Realbobcat,,,,http://www.speedrun.com/bo3zombies/run/y9plg6rm,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,8.052s,https://youtu.be/Cu86WqB2xCU,,solo,2025-01-26,1,Realbobcat,,,,http://www.speedrun.com/bo3zombies/run/mr065o8m,rejected
