game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=rqvo0d7l; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,Xbox Series X,18m 13.000s,https://www.youtube.com/watch?v=pCTuFFjaohw,,co-op,2024-08-18,2,Flippy_m8,SSJ Bambino,,,http://www.speedrun.com/bocwz/run/mrxn9wgm,rejected
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=rqvo0d7l; yn2wg5gn=qoxjmjpq; 6nj5r4vl=21dnw23l,Xbox Series X,18m 23.000s,https://www.youtube.com/watch?v=pCTuFFjaohw,,co-op,2024-08-18,2,Flippy_m8,SSJ Bambino,,,http://www.speedrun.com/bocwz/run/z1nxo07y,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=rqvo0d7l; yn2wg5gn=qoxjmjpq; 6nj5r4vl=21dnw23l,Xbox Series X,19m 19.770s,https://youtu.be/tGrD5sy-PSk?feature=shared,,co-op,2024-08-12,2,Flippy_m8,SSJ Bambino,,,http://www.speedrun.com/bocwz/run/ywxqpx3m,verified
