game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,14m 39.200s,https://youtu.be/ADktBKtn1do?si=P-3cOXw8ewwPGNV4,,solo,2024-01-19,1,SlothGirlZB,,,,http://www.speedrun.com/iwzombies/run/z1k7we7y,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,16m 17.220s,https://www.twitch.tv/videos/1942956549,,solo,2023-10-05,1,SlothGirlZB,,,,http://www.speedrun.com/iwzombies/run/y4kwkx2m,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,18m 33.120s,https://youtu.be/egc8_W4gR2c?si=vmFDzO8ERKSJpTx9,,solo,2023-09-19,1,SlothGirlZB,,,,http://www.speedrun.com/iwzombies/run/mkq9373m,verified
