game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,31m 45.000s,https://youtu.be/gIBmQOAvrzI,,co-op,2021-02-04,2,Snapdragon888,ImThePandaaa,,,http://www.speedrun.com/bocwz/run/y2vvrr9z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,29m 18.000s,https://youtu.be/9vuV0Hn9ztQ,,solo,2021-02-03,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/y2vvj9jz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=9qjno4e1; gnxj7pgl=810y752l,PlayStation 4,9m 17.000s,https://youtu.be/PKFi1jUOP_c,,solo,2021-01-24,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/znorp3ly,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=9qjno4e1; gnxj7pgl=810y752l,PlayStation 4,9m 32.000s,https://youtu.be/SDbuJQ-CLgY,,solo,2021-01-23,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/zno4nn8y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,30m 35.000s,https://youtu.be/D6pdnWAFr4s,,solo,2021-01-22,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/y66pj0qy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,45m 44.083s,https://youtu.be/Z4LkJV4BNVQ,,solo,2021-01-02,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/zn3l1k9y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,52m 40.000s,https://youtu.be/BnsVTztzFtA,,solo,2020-12-31,1,ImThePandaaa,,,,http://www.speedrun.com/bocwz/run/mk8xon5m,verified
