game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,The Reckoning ,6njpd4en=12ve0wdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; kn0eoj78=ln86o0ol,PlayStation 5,39m 19.900s,https://www.twitch.tv/lordluzifer86/v/2562188859?sr=a,,solo,2025-09-09,1,LordLuzifer86,,,,http://www.speedrun.com/BO6Zombies/run/ylj88o2m,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PlayStation 5,31m 40.200s,https://www.twitch.tv/videos/2540479913,,solo,2025-08-15,1,LordLuzifer86,,,,http://www.speedrun.com/BO6Zombies/run/mrddg8gz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PlayStation 5,28m 18.000s,https://www.twitch.tv/videos/2516915409,,solo,2025-07-19,1,LordLuzifer86,,,,http://www.speedrun.com/BO6Zombies/run/zpop1evm,verified
