game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,37m 9.000s,https://www.youtube.com/watch?v=P5g-WMpZuOo&t=40s,,solo,2023-11-07,1,TomWilliams,,,,http://www.speedrun.com/bocwz/run/yvvq3wxy,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=p12v5gdq,PC,44m 53.000s,https://www.youtube.com/watch?v=6fDKEzZc-Io,,solo,2023-11-18,1,TomWilliams,,,,http://www.speedrun.com/bo3zombies/run/y6q0onjz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=p12v5gdq,PC,51m 49.000s,https://www.youtube.com/watch?v=IK-W0TB09nU&lc=Ugx7uuxdUdJdXvhqOqx4AaABAg,,solo,2023-11-13,1,TomWilliams,,,,http://www.speedrun.com/bo3zombies/run/zpp2jonz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,39m 26.190s,https://www.youtube.com/watch?v=mv0wm7dX5Zg&t=71s,,solo,2023-11-07,1,TomWilliams,,,,http://www.speedrun.com/bo3zombies/run/yd2w6kqm,verified
