game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=9qjdpjgq,PC,3m 21.600s,https://www.youtube.com/watch?v=M0wbRy4z27k&t=201s),https://www.youtube.com/watch?v=M0wbRy4z27k,solo,2025-02-07,1,Grapefroot,,,,http://www.speedrun.com/bo4zombies/run/yjed7gdm,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=gq7gzerq,PC,8m 59.410s,https://www.youtube.com/watch?v=4Ha6JWomBqQ&t=8s,,solo,2025-02-07,1,Grapefroot,,,,http://www.speedrun.com/bo4zombies/run/yvn0546m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=81pn6wel,PC,9m 5.300s,https://www.youtube.com/watch?v=xWcjJi9dXec,,solo,2024-07-17,1,Grapefroot,,,,http://www.speedrun.com/bo4zombies/run/z0q35q4m,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=81w87wv1,PC,18m 57.000s,https://www.youtube.com/watch?v=b8LRbgCzSsw,,solo,2024-07-17,1,Grapefroot,,,,http://www.speedrun.com/bo4zombies/run/m3joo24z,verified
