game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=gq7pepyq; jlzrv9y8=81wj8nvq,PC,1h 18m 28.250s,https://youtu.be/p4sA2AOx4Xo,,solo,2021-07-22,1,Embral,,,,http://www.speedrun.com/bocwz/run/yv1wxr8y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=klrve62q; dlo750j8=jq6w74jl,Xbox One,1h 4m 41.820s,https://www.twitch.tv/videos/1029381006,,solo,2021-05-20,1,Embral,,,,http://www.speedrun.com/bocwz/run/ywqj063y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=klrve62q; dlo750j8=jq6w74jl,Xbox One,1h 25m 2.000s,https://www.twitch.tv/videos/1011494740,,solo,2021-05-04,1,Embral,,,,http://www.speedrun.com/bocwz/run/zn11lg8m,rejected
