game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=p12z4ev1,PlayStation 4,53m 8.850s,https://youtu.be/V9wUTFL6NGg,,co-op,2021-04-18,2,Qwanles,Aclee,,,http://www.speedrun.com/bo4zombies/run/mkg938vy,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=gq7gzenq,PlayStation 4,2m 10.500s,https://youtu.be/j_5s5HPvUMg,,co-op,2021-04-15,2,Qwanles,Aclee,,,http://www.speedrun.com/bo4zombies/run/ydrqj6xz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=p12z4ev1,PlayStation 4,49m 26.500s,https://youtu.be/nxrtcig-zF4,,co-op,2021-04-13,2,Qwanles,Aclee,,,http://www.speedrun.com/bo4zombies/run/zp1n748z,verified
