game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,1m 47.030s,https://www.youtube.com/watch?v=nZNxt5lcHF4,,solo,2025-03-26,1,KarmzzZz,,,,http://www.speedrun.com/bo3zombies/run/y9pg77km,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,31m 10.200s,https://www.youtube.com/watch?v=G-vN25OcmHs,,solo,2025-03-22,1,KarmzzZz,,,,http://www.speedrun.com/bo3zombies/run/mkorgplz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 37.250s,https://www.youtube.com/watch?v=abIxil-0axQ,,solo,2025-03-19,1,KarmzzZz,,,,http://www.speedrun.com/bo3zombies/run/zn9g6ply,verified
