game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,55m 40.000s,https://www.youtube.com/watch?v=UiC7DxE51Dk,,co-op,2020-09-25,2,TwiggyMcSexy,Mr.Happy,,,http://www.speedrun.com/bo3zombies/run/ylv4wvnm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,49m 1.000s,https://youtu.be/VA1aNFMxiA0,,solo,2020-09-22,1,TwiggyMcSexy,,,,http://www.speedrun.com/bo3zombies/run/z1o1qprm,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,49m 1.078s,https://youtu.be/YnMh_e9NgsM,,solo,2020-09-22,1,TwiggyMcSexy,,,,http://www.speedrun.com/bo3zombies/run/mk89vw1m,verified
