game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=q75rdxp1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PC,6m 30.310s,https://youtu.be/v9bSSDsA164,,solo,2024-12-20,1,Zweird,,,,http://www.speedrun.com/BO6Zombies/run/y2n1077y,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=q75rdxp1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PC,6m 34.840s,https://youtu.be/bfWbVmLLolc,,co-op,2024-12-20,2,Zweird,ScKuLzZ95,,,http://www.speedrun.com/BO6Zombies/run/mr0e6kgm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=klrjvm0q,Xbox One,17m 28.000s,https://www.youtube.com/watch?v=7f7UJ9ZCk-k,,solo,2019-06-10,1,Zweird,,,,http://www.speedrun.com/iwzombies/run/mexk592z,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=5lm8p3yq,Xbox One,4m 42.010s,https://www.youtube.com/watch?v=7f7UJ9ZCk-k,,solo,2019-06-10,1,Zweird,,,,http://www.speedrun.com/iwzombies/run/zp4qe3vz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,Xbox One,28m 5.000s,https://youtu.be/Kc--sp8le_Y,,solo,2019-06-01,1,Zweird,,,,http://www.speedrun.com/iwzombies/run/yl09083y,verified
