game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PlayStation 4,3m 43.260s,https://youtu.be/xPHk-kNAblQ,,solo,2025-06-25,1,Wheezus,,,,http://www.speedrun.com/bo3zombies/run/z16pxlgm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PlayStation 4,3m 41.970s,https://youtu.be/5SWL-wOgSEc,,solo,2025-06-25,1,Wheezus,,,,http://www.speedrun.com/bo3zombies/run/y9ev38vz,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PlayStation 4,4m 25.400s,https://youtu.be/ZEoQhrPgnQc,,solo,2025-06-25,1,Wheezus,,,,http://www.speedrun.com/bo3zombies/run/yd4dejwy,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PlayStation 4,3m 27.460s,https://youtu.be/GiRTstGpcX4,,solo,2025-06-25,1,Wheezus,,,,http://www.speedrun.com/bo3zombies/run/zpo98w8m,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PlayStation 4,6m 14.330s,https://youtu.be/AYjvGrsTDfc,,solo,2025-06-25,1,Wheezus,,,,http://www.speedrun.com/bo3zombies/run/zg6prevm,verified
