game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,1h 12m 35.270s,https://www.youtube.com/watch?v=URkMCiJhoCo,https://www.youtube.com/watch?v=euVAgRxiQNY; https://www.youtube.com/watch?v=aRrCQi4NmSQ; https://www.youtube.com/watch?v=4M_TRbOUkiA,co-op,2024-11-30,4,uhSwanny,JCPlaysVideoGames,iKevTheMan,Rellex Vortex,http://www.speedrun.com/BO6Zombies/run/zq2k9j1z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,22m 27.600s,https://www.youtube.com/watch?v=BT1HlUXHlIg,https://www.youtube.com/watch?v=vpWssG0mQ8U; https://www.youtube.com/watch?v=D50OwNcD2yI; https://www.youtube.com/watch?v=sdxeECnDYj0,co-op,2024-11-26,4,uhSwanny,JCPlaysVideoGames,iKevTheMan,Rellex Vortex,http://www.speedrun.com/BO6Zombies/run/zqqxx49z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,30m 56.780s,https://www.youtube.com/watch?v=vUmzcChH7v4,https://www.youtube.com/watch?v=VylpTy8-7Xk; https://www.youtube.com/watch?v=QMq0xg5vQ9U; https://www.youtube.com/watch?v=fD_GFmIj6Yk,co-op,2024-11-22,4,uhSwanny,JCPlaysVideoGames,iKevTheMan,Rellex Vortex,http://www.speedrun.com/BO6Zombies/run/zgo4gpjm,verified
