game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PC,38m 43.000s,https://www.twitch.tv/videos/902909172,,solo,2021-02-05,1,jabooty_god,,,,http://www.speedrun.com/bocwz/run/y8vdvv1z,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,32m 14.000s,https://www.twitch.tv/videos/807612269,,solo,2020-11-18,1,jabooty_god,,,,http://www.speedrun.com/bocwz/run/z53x8dgy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,39m 48.082s,https://www.twitch.tv/videos/804755499,,solo,2020-11-15,1,jabooty_god,,,,http://www.speedrun.com/bocwz/run/y6rxpojy,verified
