game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=0q56pm1p; ylp4gjlg=21dv5z41,PlayStation 4,43.015s,https://youtu.be/1TK4fy28E2I,,co-op,2020-11-11,2,Sparrowhawk21x,xoSliqy,,,http://www.speedrun.com/bo3zombies/run/y4eqw9dm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=0q56pm1p; gnx65jnv=gq75zgy1,PlayStation 4,41m 55.717s,https://youtu.be/NIYM-pWyfcw,,co-op,2020-11-10,2,Sparrowhawk21x,xoSliqy,,,http://www.speedrun.com/bo3zombies/run/zpl9458m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=0q56pm1p; gnx65jnv=gq75zgy1,PlayStation 4,46m 44.999s,https://youtu.be/TYMoiX2wTc4,,co-op,2020-11-09,2,Sparrowhawk21x,xoSliqy,,,http://www.speedrun.com/bo3zombies/run/z53v6wny,rejected
