game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,21m 13.000s,https://youtu.be/Ky6XX6MoEqw?si=sY55bDMi9uFU8mM9,,solo,2025-03-04,1,Youzrsef,,,,http://www.speedrun.com/BO6Zombies/run/zpkx8rry,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,20m 57.000s,https://youtu.be/Ky6XX6MoEqw?si=ukzQWT2KZOSbcaYP,,solo,2025-03-04,1,Youzrsef,,,,http://www.speedrun.com/BO6Zombies/run/ywwx0dpy,verified
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=ln8kzvol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; 6njprv5n=q5v7gj7l,PlayStation 5,24m 27.700s,https://youtu.be/My2lFXS2nWc?si=_6pjOFLz-2cD0HQo,,solo,2025-03-02,1,Youzrsef,,,,http://www.speedrun.com/BO6Zombies/run/menwq1qm,verified
