game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=81pggg17,PC,5m 52.000s,https://youtu.be/Pt63tGxFPd0,,solo,2022-10-04,1,Akbear2129,,,,http://www.speedrun.com/bo2zombies/run/me1wp23y,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=81wm425q,PC,53.100s,https://youtu.be/7BeilBRlE_A,,solo,2022-10-04,1,Akbear2129,,,,http://www.speedrun.com/bo2zombies/run/y8xwng1m,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,2m 52.740s,https://youtu.be/VLT-yPVIE6I,,solo,2022-10-04,1,Akbear2129,,,,http://www.speedrun.com/bo2zombies/run/zq9852xy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=klrj63oq,Xbox 360,3m 34.070s,https://youtu.be/uW78cKVPqC4,,solo,2022-10-04,1,Akbear2129,,,,http://www.speedrun.com/bo2zombies/run/z5x86lny,verified
