game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,17.260s,https://youtu.be/Rr6nf30ALeQ,,solo,2025-02-12,1,M0SES,,,,http://www.speedrun.com/bo3zombies/run/zpkgopny,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=21dv5z41,PC,46.360s,https://youtu.be/HrnP4yHXa88,,solo,2025-02-12,1,M0SES,,,,http://www.speedrun.com/bo3zombies/run/m7e2ex5z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 15.140s,https://youtu.be/8qxtuK4VOlE,,solo,2025-02-10,1,M0SES,,,,http://www.speedrun.com/bo3zombies/run/yje8dw3m,rejected
