game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 55.867s,https://www.youtube.com/watch?v=iMagKsDboG4,,solo,2023-01-12,1,Batowski,,,,http://www.speedrun.com/bo2zombies/run/z1qrr1jy,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=klrj63oq,PC,3m 23.267s,https://www.youtube.com/watch?v=MBNJdqKahj4,,solo,2023-01-11,1,Batowski,,,,http://www.speedrun.com/bo2zombies/run/mee7ol0m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=klrj63oq,PC,3m 37.400s,https://www.youtube.com/watch?v=RzZJyxqfv1w,,solo,2023-01-11,1,Batowski,,,,http://www.speedrun.com/bo2zombies/run/mro43rgm,verified
