game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,4m 10.568s,https://youtube.com/watch?v=mLDIwbVJtkE,,solo,2019-06-19,1,ausy146,,,,http://www.speedrun.com/bo3zombies/run/y952jgez,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=0132y83q; 0nw2z6xn=gq7gzenq,PlayStation 4,2m 59.000s,https://www.youtube.com/watch?v=0wA3ckXukYI,,solo,2019-02-04,1,ausy146,,,,http://www.speedrun.com/bo4zombies/run/zg7j7ldz,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PlayStation 4,3m 2.000s,https://www.youtube.com/watch?v=K9lRj7bQ17I,,solo,2019-02-04,1,ausy146,,,,http://www.speedrun.com/bo4zombies/run/yvjnjnoy,verified
