game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=4lxz9212; gnx65jnv=gq75zgy1,Xbox One,1h 27m 25.000s,https://www.twitch.tv/videos/1846744518,,co-op,2023-06-14,3,I_Washy_I,TheLegendBoi,Xi Tangy iX,,http://www.speedrun.com/bo3zombies/run/ywrkqv0m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=4lxz9212; ylqx7m8r=p12v5gdq,Xbox One,1h 34m 50.000s,https://www.twitch.tv/videos/1845894432,,co-op,2023-06-13,3,I_Washy_I,TheLegendBoi,Xi Tangy iX,,http://www.speedrun.com/bo3zombies/run/y86ed01m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=4lxz9212; 38dw04n0=jqz2ogqp,Xbox One,1h 22m 16.000s,https://www.twitch.tv/videos/1835533558,,co-op,2023-06-02,3,I_Washy_I,TheLegendBoi,Xi Tangy iX,,http://www.speedrun.com/bo3zombies/run/ydj9qrwy,verified
