game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 45.270s,https://youtu.be/_XbnjU5N6pA?si=FZGFbam5nR1szhYY,,solo,2025-03-01,1,Firedox,,,,http://www.speedrun.com/bo2zombies/run/z5l848ey,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,11m 16.130s,https://youtu.be/QU_Ke4ts0EI,,solo,2022-05-16,1,Firedox,,,,http://www.speedrun.com/bo2zombies/run/yop7q1dm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,13m 10.330s,https://youtu.be/ePz5kIP85ek,,solo,2022-05-15,1,Firedox,,,,http://www.speedrun.com/bo2zombies/run/me37148z,verified
