game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=le2669kl; 68kozzn2=p12p7vqx,PC,1h 6m 58.100s,https://www.twitch.tv/videos/1914911255,,co-op,2023-09-02,2,NoMoleMan,isssuez,,,http://www.speedrun.com/bo2zombies/run/yo5x7q0z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; 68kozzn2=z19knjq4,PC,25m 55.000s,,,solo,2022-01-17,1,isssuez,,,,http://www.speedrun.com/bo2zombies/run/zp5xlovy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=le2669kl; 68kozzn2=p12p7vqx,PC,49m 22.000s,https://www.twitch.tv/videos/1266534104,,solo,2022-01-17,1,isssuez,,,,http://www.speedrun.com/bo2zombies/run/yl5xqpnz,verified
