game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,32.000s,https://www.youtube.com/watch?v=DIjoxerA_iU,,solo,2025-04-17,1,okkotsu,,,,http://www.speedrun.com/iwzombies/run/yvnw704m,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PC,3m 38.000s,https://youtube.com/live/r6QuQdH_8dk,,solo,2025-04-16,1,okkotsu,,,,http://www.speedrun.com/iwzombies/run/mr03l2gm,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PC,3m 42.000s,https://youtube.com/live/r6QuQdH_8dk,,solo,2025-04-16,1,okkotsu,,,,http://www.speedrun.com/iwzombies/run/m7er034z,verified
