game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,5m 23.630s,https://youtu.be/wP5P8qtzQts,,solo,2024-11-16,1,Robyrn,,,,http://www.speedrun.com/BO6Zombies/run/y6e1nlpz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,6m 8.500s,https://youtu.be/F6822Tx8EmE,,solo,2024-11-15,1,Robyrn,,,,http://www.speedrun.com/BO6Zombies/run/yvxd9r8z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,7m 20.096s,https://youtu.be/GfS-E7y5uyA,,solo,2024-11-09,1,Robyrn,,,,http://www.speedrun.com/BO6Zombies/run/ylxwe7ny,verified
