game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=p12v5gdq,PC,50m 45.350s,https://youtu.be/4_nLfaC_o3k,,solo,2024-01-22,1,Werot,,,,http://www.speedrun.com/bo3zombies/run/zppv21xz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,39m 56.870s,https://youtu.be/hfKIeVfD12Q,,solo,2023-04-26,1,Werot,,,,http://www.speedrun.com/bo3zombies/run/zqjkj6xm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,49m 21.390s,https://youtu.be/BNE4AQ_GlZQ,,solo,2023-04-18,1,Werot,,,,http://www.speedrun.com/bo3zombies/run/y2jl7wwz,verified
