game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,22m 6.000s,https://youtu.be/KP3_H3swtC4,,solo,2021-10-17,1,TTV_Wesleytjhh,,,,http://www.speedrun.com/bocwz/run/y69eq71y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,6m 6.000s,https://youtu.be/1UCZIS-8m1M,,solo,2020-12-30,1,TTV_Wesleytjhh,,,,http://www.speedrun.com/bocwz/run/m3g8x0qz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,6m 13.000s,https://youtu.be/W4fRNCA1_5E,,solo,2020-12-29,1,TTV_Wesleytjhh,,,,http://www.speedrun.com/bocwz/run/yj6r1rdz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,7m 42.000s,https://youtu.be/p9Ae8zXy6lA,,solo,2020-12-28,1,TTV_Wesleytjhh,,,,http://www.speedrun.com/bocwz/run/z1o7w97m,verified
