game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 40.940s,https://www.youtube.com/watch?v=ic_6iazcD5k,,co-op,2024-10-31,2,Jerfus,HeNoseGaming,,,http://www.speedrun.com/BO6Zombies/run/zxxpkqgz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=ln8z4j0l; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,13m 42.350s,https://www.youtube.com/watch?v=G2vwWjS74lg,https://youtu.be/G2vwWjS74lg?si=P-ZsLNg0lQv6s4mw,co-op,2024-10-31,2,Jerfus,HeNoseGaming,,,http://www.speedrun.com/BO6Zombies/run/ydlp6nqz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 18.310s,https://www.youtube.com/watch?v=q2d4LjrhGHc,https://youtu.be/q2d4LjrhGHc?si=S9VXii2XGtvJUSMs,co-op,2024-10-31,2,Jerfus,HeNoseGaming,,,http://www.speedrun.com/BO6Zombies/run/y2w61kjy,verified
