game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PlayStation 4,39.770s,https://youtu.be/AQphJDlkeB4,,solo,2018-10-17,1,Godyr,,,,http://www.speedrun.com/bo3zombies/run/yo2r110z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=21ge58nl,PlayStation 4,4m 10.330s,https://www.youtube.com/watch?v=e-ptK3hrHmU&feature=youtu.be,,solo,2018-07-26,1,Godyr,,,,http://www.speedrun.com/bo3zombies/run/mr8kne2y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=klrj9pjq,PlayStation 4,1m 50.920s,https://youtu.be/LM6E7RoYh-o,,solo,2018-07-25,1,Godyr,,,,http://www.speedrun.com/bo3zombies/run/yvj62qoy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PlayStation 4,3m 25.850s,https://youtu.be/MBimIiaKWqc,,solo,2018-07-20,1,Godyr,,,,http://www.speedrun.com/bo3zombies/run/zn4rlw7m,verified
