game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=zqogr6p1; dlo750j8=jq6w74jl,PC,5m 28.027s,https://youtu.be/7h_PJrdByEU,,co-op,2024-07-25,2,hawklikescurry,Dylangillespie19,,,http://www.speedrun.com/bocwz/run/ylx0jkky,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=5leo55qo; ylp4gjlg=0q5xgzr1,PlayStation 4,14m 49.150s,https://youtu.be/b2iENCEWIE4,,solo,2023-10-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/mkqgj81m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PlayStation 4,2m 59.000s,https://youtu.be/GtoqukGS87E,,solo,2023-10-13,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/y9k1qlez,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=5leo55qo; gnx65jnv=9qjwxn01,PlayStation 4,13m 56.000s,https://youtu.be/qNf9BdZgciE,,solo,2023-10-01,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/z5kjo65z,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=jqzny4mq,PlayStation 4,1h 6m 35.000s,https://www.twitch.tv/dylan_gillespie/v/1887621764?sr=a&t=1s,,solo,2023-09-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/mkq21jvm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PlayStation 4,2m 49.000s,https://youtu.be/aqr0v3cLU78,,solo,2023-09-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/yjw39n3m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=5lm3y41v,PlayStation 4,42m 47.000s,https://youtu.be/WTDOGtixmaE,,solo,2023-09-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/y2k1wowy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=21gnogml,PlayStation 4,32m 19.000s,https://youtu.be/Fexpw58Z4gs,,solo,2023-09-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/y4k1ldkm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PlayStation 4,27m 37.000s,https://youtu.be/QKetFpVSqqU,,solo,2023-08-08,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/y2gr9kwz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PlayStation 4,32m 38.810s,https://youtu.be/tW75voEb45I,,solo,2023-07-26,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/znvxjx7m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PlayStation 4,2m 58.770s,https://youtu.be/hVpLLPh3cVI,,solo,2023-06-24,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/ydjwk3jy,verified
