game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,17m 1.980s,https://youtu.be/l0ZJdlQgwNU,,solo,2025-12-21,1,Maglc1,,,,http://www.speedrun.com/iwzombies/run/y9w8k0rz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,19m 59.130s,https://youtu.be/wTvgb108P5U,,solo,2025-12-20,1,Maglc1,,,,http://www.speedrun.com/iwzombies/run/y8n6eeny,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PC,21m 46.700s,https://youtu.be/0MP7YOa-2K8,,solo,2025-12-18,1,Maglc1,,,,http://www.speedrun.com/iwzombies/run/y9w87drz,verified
