game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,28m 56.880s,https://youtu.be/Tn2Upo6UrUs,,co-op,2020-12-11,3,HyperHawkz,Johnny Sins,PremedThunder8,,http://www.speedrun.com/bocwz/run/yv9xo0xz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,40m 25.520s,https://youtu.be/NZetfo2tW3E,,solo,2020-11-20,1,HyperHawkz,,,,http://www.speedrun.com/bocwz/run/m3gl9jwz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,48m 58.087s,https://youtu.be/SboO9SDGH9s,,solo,2020-11-18,1,HyperHawkz,,,,http://www.speedrun.com/bocwz/run/mk8dp8vm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,45m 26.072s,https://youtu.be/p4ljMqJtIec,,solo,2020-11-18,1,HyperHawkz,,,,http://www.speedrun.com/bocwz/run/m3gxj6wz,verified
