game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 4.650s,https://youtu.be/O_u1O98v0g8,,solo,2024-11-08,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/ywx7d40m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 26.540s,https://www.youtube.com/watch?v=ydZHDX1W7aE,,solo,2024-11-07,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/yj9v487z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdkokq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 4.620s,https://www.youtube.com/watch?v=pSh1vowiAIc,,solo,2024-11-05,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/y9dggpkm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdkokq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 24.250s,https://www.youtube.com/watch?v=DG-VpEwKqWI,,solo,2024-11-05,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/zpxvvkgm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,8m 58.510s,https://www.youtube.com/watch?v=f0npdeOAs0U,,solo,2024-11-05,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/m7ojjp9y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,6m 50.500s,https://www.youtube.com/watch?v=4jhMAjVX7xM,,solo,2024-11-05,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/yox8515y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 31.530s,https://www.youtube.com/watch?v=UHT7EBb1_eQ,,solo,2024-11-04,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/y9dgplvm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 18.000s,https://www.youtube.com/watch?v=VTI0r8sCQ8g,,solo,2024-11-04,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/y9dgp52m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 9.500s,https://www.youtube.com/watch?v=h0eSTc_qsM0,,solo,2024-11-04,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/y8plo3wz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,9m 42.500s,https://www.youtube.com/watch?v=RPnEIYBP8Bw,,solo,2024-11-04,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/yox8xd7y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,6m 35.600s,https://www.youtube.com/watch?v=TzMAZ9iIiPY,,solo,2024-11-04,1,LeVision,,,,http://www.speedrun.com/BO6Zombies/run/zgo1orvm,verified
