game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,19m 2.000s,https://youtu.be/9CTwTHNtxLE,,solo,2022-02-21,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/y8jor45z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,Xbox One,20m 49.796s,https://youtu.be/VN7IWz0jzes,,solo,2022-02-14,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/zgdljknz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 33.000s,https://youtu.be/YVAecC-agdA,,solo,2022-02-12,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/zgdlxpjz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 46.000s,https://youtu.be/ozgEPEqXDJU,,solo,2021-09-25,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/z1xq0qgm,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 19.000s,https://youtu.be/rL8DVVtheIM,,solo,2021-09-25,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/y8e0lp1y,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,19m 8.533s,https://www.youtube.com/watch?v=eRekT-sO3m0,,solo,2021-09-18,1,Breeze_III,,,,http://www.speedrun.com/iwzombies/run/mk5dpoxm,rejected
