game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,42m 0.073s,https://www.twitch.tv/videos/780123143?filter=highlights&sort=time,,solo,2020-10-23,1,iwoju,,,,http://www.speedrun.com/bo3zombies/run/z1o8e6gm,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,42m 0.073s,https://www.twitch.tv/videos/780123143?filter=highlights&sort=time,,solo,2020-10-23,1,iwoju,,,,http://www.speedrun.com/bo3zombies/run/z530qwgy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,54m 35.000s,https://www.twitch.tv/videos/778865796,,solo,2020-10-22,1,iwoju,,,,http://www.speedrun.com/bo3zombies/run/zn3ogv8y,verified
