game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,11m 31.790s,https://www.youtube.com/watch?v=f0vUTO-yqB8?t=2,https://youtu.be/NKmN5Jmc6ck,co-op,2025-01-12,2,utoxik,BattleHawkGavin,,,http://www.speedrun.com/BO6Zombies/run/z1vr2owz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,17m 1.400s,https://www.youtube.com/watch?v=Z5BWL03TH4U,,co-op,2025-01-12,2,BattleHawkGavin,utoxik,,,http://www.speedrun.com/BO6Zombies/run/zq210v9z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,11m 36.796s,https://www.youtube.com/watch?v=f0vUTO-yqB8,,co-op,2025-01-12,2,BattleHawkGavin,utoxik,,,http://www.speedrun.com/BO6Zombies/run/y2nx0v7y,rejected
