game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PC,4m 13.830s,https://youtu.be/wMwU4sGMBqQ,,solo,2019-08-18,1,VanillaPG,,,,http://www.speedrun.com/bo2zombies/run/yoj778jm,verified
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,3m 12.000s,https://youtu.be/FEZVZj2URrs,,solo,2019-08-18,1,VanillaPG,,,,http://www.speedrun.com/bo2zombies/run/z57rvdnm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 12.940s,https://youtu.be/BS1rRK3ykxM,,solo,2019-08-18,1,VanillaPG,,,,http://www.speedrun.com/bo2zombies/run/zqr10ery,verified
