game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,2m 49.038s,https://www.twitch.tv/videos/550679818,,co-op,2020-02-11,2,MrNoLifeNoCare,Nickyy,,,http://www.speedrun.com/bo2zombies/run/zgk1wedy,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 1.069s,https://www.twitch.tv/videos/550682099,,co-op,2020-02-11,2,MrNoLifeNoCare,Nickyy,,,http://www.speedrun.com/bo2zombies/run/y95g08kz,rejected
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,3m 2.000s,https://www.twitch.tv/videos/550692574,,co-op,2020-02-11,2,MrNoLifeNoCare,Nickyy,,,http://www.speedrun.com/bo2zombies/run/m3185k4z,verified
