game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=0q56pm1p; ylqx7m8r=xqk950y1,PC,2m 25.310s,https://www.youtube.com/watch?v=wcKMcS7DnS0,https://www.youtube.com/watch?v=tzCOqdgtJYc,co-op,2025-05-25,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/zx0d86ez,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=p12opmkl,PC,2m 26.300s,https://www.youtube.com/watch?v=bRgZLGrgYsE,https://www.youtube.com/watch?v=bJAquXdJO2Q,co-op,2025-05-25,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/mrd9r4gz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=0q56pm1p; ylqx7m8r=xqk950y1,PC,2m 25.000s,https://www.youtube.com/watch?v=tzCOqdgtJYc,,co-op,2025-05-14,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/y2816j9y,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=p12opmkl,PC,2m 26.300s,https://www.youtube.com/watch?v=bJAquXdJO2Q,,co-op,2025-05-14,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/yd46pwwy,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=0q56pm1p; onvmywnm=klrj942q,PC,1m 28.890s,https://www.youtube.com/watch?v=3r0wBN9Td5k,,co-op,2024-07-13,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/yox46r5y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=gq79pdyl,PC,2m 50.240s,https://youtu.be/BZt8EFxEcOE,,co-op,2024-01-10,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/yd2498wm,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=0q56pm1p; ylqx7m8r=xqk950y1,PC,2m 54.470s,https://youtu.be/JKTiGMjB3GU?si=5ygIs6J6yf7tjx8p,,co-op,2024-01-10,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/me026q9z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=0q56pm1p; p85pd5lg=81p42ok1,PC,4m 21.730s,https://youtu.be/JKy-0cbpj-I,,co-op,2024-01-10,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/zneg35lz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=z195kykq,PC,1m 52.620s,https://youtu.be/LxlESc9jsG4,,co-op,2024-01-09,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/y9ke5okz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=814kpgjl,PC,1m 7.160s,https://youtu.be/91LkoliCoFs?si=FIEIKxVK06iXnYcL,,co-op,2024-01-05,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/m73e6dey,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=p12opmkl,PC,2m 42.070s,https://youtu.be/QNxQo3uFUKQ?si=Oyc349Y9-NRDfJYJ,,co-op,2024-01-05,2,ShalekTheWise,AmazingStitch13,,,http://www.speedrun.com/bo3zombies/run/yvvnrgey,verified
