game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 59.075s,https://www.youtube.com/watch?v=xokC2HVYaeE,,solo,2020-08-17,1,IROH_,,,,http://www.speedrun.com/bo3zombies/run/y8242gdy,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PC,2m 44.015s,https://youtu.be/Qd9RKqIaIhs,,solo,2020-08-14,1,IROH_,,,,http://www.speedrun.com/bo3zombies/run/yw8oxr2y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,2m 54.014s,https://youtu.be/S3ZFZ19zJ0w,,solo,2020-08-14,1,IROH_,,,,http://www.speedrun.com/bo3zombies/run/zgw1jvey,verified
