game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PlayStation 5,47m 28.370s,https://youtu.be/2VMY77tBRiE,,solo,2021-02-06,1,XD_elements,,,,http://www.speedrun.com/bocwz/run/yv21qdxm,rejected
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=0q56pm1p; ylp4gjlg=gq72yjp1,PlayStation 4,1h 1m 45.321s,https://youtu.be/8xCXFzYtFNw,,co-op,2020-10-14,2,kdidy14,XD_elements,,,http://www.speedrun.com/bo3zombies/run/y4ee8j3m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=0q56pm1p; ylp4gjlg=gq72yjp1,PlayStation 4,1h 1m 45.321s,https://youtu.be/-km_hFHokMo,,co-op,2020-10-14,2,XD_elements,kdidy14,,,http://www.speedrun.com/bo3zombies/run/yo33rq5y,rejected
