game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,PlayStation 4,2m 22.360s,https://www.twitch.tv/videos/832316805?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/zplx05gm,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,PlayStation 4,2m 20.530s,https://www.twitch.tv/videos/832320161?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y91d2wkm,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=4lxz9212; ylqx7m8r=013w4rdq,PlayStation 4,2m 10.520s,https://www.twitch.tv/videos/832322828?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/z1on179m,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,PlayStation 4,2m 19.790s,https://www.twitch.tv/videos/832324887?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/z53g16ny,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,PlayStation 4,2m 10.000s,https://www.twitch.tv/videos/832326961?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y4el30dm,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=4lxz9212; p85pd5lg=zqom2np1,PlayStation 4,2m 13.720s,https://www.twitch.tv/videos/832331517?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y2dwq65z,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=4lxz9212; p85pd5lg=zqom2np1,PlayStation 4,2m 17.490s,https://www.twitch.tv/videos/832334198?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/z09q329z,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=4lxz9212; p85pd5lg=zqom2np1,PlayStation 4,2m 12.150s,https://www.twitch.tv/videos/832353815?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y6repw6y,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=4lxz9212; gnx65jnv=rqv6zd7l,PlayStation 4,2m 24.610s,https://www.twitch.tv/videos/832362623?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y8rp9ldm,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=4lxz9212; gnx65jnv=rqv6zd7l,PlayStation 4,2m 16.520s,https://www.twitch.tv/videos/832365625?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/yj694rdz,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=4lxz9212; gnx65jnv=rqv6zd7l,PlayStation 4,2m 8.660s,https://www.twitch.tv/videos/832375216?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/me6g8d0z,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PlayStation 4,2m 29.170s,https://www.twitch.tv/videos/832379765?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/zplx0vxm,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PlayStation 4,2m 25.450s,https://www.twitch.tv/videos/832384450?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/yd0l3pvz,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PlayStation 4,2m 13.830s,https://www.twitch.tv/videos/832387873?filter=highlights&sort=time,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/y91d2gem,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PlayStation 4,2m 25.045s,https://www.twitch.tv/videos/833175294,,co-op,2020-12-10,3,Vendetta,xZombieSlayerGer,Ryyannn_,,http://www.speedrun.com/bo3zombies/run/mr9x9jgm,rejected
