game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,Xbox 360,3m 27.720s,https://youtu.be/hZSFwGfxXUA,,co-op,2022-01-17,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo2zombies/run/mr66xwgm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=klrj63oq,Xbox 360,3m 44.380s,https://youtu.be/V1x31frQYZw,,co-op,2022-01-17,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo2zombies/run/z5vvg45m,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,Xbox 360,3m 23.420s,https://youtu.be/YGmxc-jv7LA,,co-op,2022-01-17,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo2zombies/run/y488l43m,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,Xbox 360,12m 48.070s,https://youtu.be/ecHtdiwRmik,,co-op,2022-01-04,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo2zombies/run/mr64002m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=814jp01d; ylp4kjlg=z195dr0q,Xbox One,2m 19.700s,https://www.youtube.com/watch?v=hVZNfdPho-w&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/y9jvvwem,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=814jp01d; 38dw04n0=p12opmkl,Xbox One,4m 2.433s,https://www.youtube.com/watch?v=07DxAfJfRJw&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/zq877nrz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=814jp01d; 38dw04n0=p12opmkl,Xbox One,5m 4.700s,https://www.youtube.com/watch?v=ItAO43ACbMg&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/z0dpp29y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=814jp01d; 38dw04n0=81wer8o1,Xbox One,2m 18.700s,https://www.youtube.com/watch?v=ItAO43ACbMg&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/y8w88ldy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=814jp01d; 38dw04n0=81wer8o1,Xbox One,2m 49.633s,https://www.youtube.com/watch?v=omBY4dPWdqY&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/zn2pp67z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=814jp01d; wlewprl6=814kpgjl,Xbox One,6m 27.900s,https://www.youtube.com/watch?v=WZ7nUmqKUyw&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/yld772nm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=814jp01d; wlewprl6=jq6yg731,Xbox One,4m 2.633s,https://www.youtube.com/watch?v=WZ7nUmqKUyw&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/mew33d0m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=814jp01d; wlewprl6=jq6yg731,PlayStation 4,3m 21.700s,https://www.youtube.com/watch?v=fgNbYjknsL4&ab_channel=JohnPetrucci,,co-op,2024-04-15,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/yo0pp80y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=814jp01d; gnx65jnv=81py6nk1,Xbox One,9m 20.633s,https://youtu.be/Phgj7W4c14s,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/z5e2p3dz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=814jp01d; ylp4gjlg=xqk968n1,Xbox One,7m 52.840s,https://youtu.be/YGmxc-jv7LA,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/zxn73dgm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=814jp01d; ylp4gjlg=gq72yjp1,Xbox One,1h 44m 6.266s,https://www.youtube.com/watch?v=awC7IhvB7ZM&ab_channel=JohnPetrucci,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/mro7l94m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=814jp01d; ylqx7m8r=814oxreq,Xbox One,14m 38.966s,https://www.youtube.com/watch?v=uVXOTGXurg0&ab_channel=JohnPetrucci,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/m726055z,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=814jp01d; ylqx7m8r=013w4rdq,Xbox One,6m 34.800s,https://www.youtube.com/watch?v=uVXOTGXurg0&ab_channel=JohnPetrucci,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/mkvk083y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=814jp01d; ylp4kjlg=z195dr0q,Xbox One,3m 57.100s,https://www.youtube.com/watch?v=I08S2fmMCz0&ab_channel=JohnPetrucci,,co-op,2023-02-01,4,ThePetruccinator101,Shronkey,Shranos,FrShramoV,http://www.speedrun.com/bo3zombies/run/z1qplojy,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=814jp01d; wlewprl6=814kpgjl,Xbox One,3m 53.700s,https://youtu.be/4T_tiEDsWl0,,co-op,2021-02-20,4,Shronkey,ThePetruccinator101,FrShramoV,Shranos,http://www.speedrun.com/bo3zombies/run/ylo199ny,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=814jp01d; gnx65jnv=rqv6zd7l,Xbox One,2m 53.006s,https://youtu.be/Ip72iK7vkxI,,co-op,2021-02-20,4,Shronkey,ThePetruccinator101,FrShramoV,Shranos,http://www.speedrun.com/bo3zombies/run/y8vxq1dz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=gq7gzenq,Xbox One,2m 41.380s,https://youtu.be/-J3aOX0CZ1w,,co-op,2022-01-17,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo4zombies/run/zn77xl7m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=xqk86k9q,Xbox One,7m 11.180s,https://youtu.be/bh7rv-387D4,,co-op,2022-01-17,4,Shronkey,Shranos,ThePetruccinator101,FrShramoV,http://www.speedrun.com/bo4zombies/run/y6nne46z,verified
