game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,20m 27.997s,https://youtu.be/xqvv8uk1sjo,,solo,2022-03-17,1,Zyxylz,,,,http://www.speedrun.com/iwzombies/run/yorg78dy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,20m 39.733s,https://www.youtube.com/watch?v=qEBYUb8BjJs,,solo,2022-03-16,1,Zyxylz,,,,http://www.speedrun.com/iwzombies/run/zq0ow2xy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,21m 37.700s,https://youtu.be/kYhcwwDPvXQ,,solo,2022-03-14,1,Zyxylz,,,,http://www.speedrun.com/iwzombies/run/m7wjl7ez,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PC,20m 53.067s,https://www.youtube.com/watch?v=pCTsow25rFw,https://www.youtube.com/watch?v=ASqK4YvXnC8,co-op,2022-03-13,2,Zyxylz,yekle,,,http://www.speedrun.com/iwzombies/run/y206krjm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,23m 38.750s,https://www.youtube.com/watch?v=oz6tqUq0V9g,,solo,2022-02-16,1,Zyxylz,,,,http://www.speedrun.com/iwzombies/run/y9ljg4ry,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,28m 53.967s,https://www.youtube.com/watch?v=ZRWy_9XXHRA,,solo,2022-02-14,1,Zyxylz,,,,http://www.speedrun.com/iwzombies/run/y6nv226z,verified
