game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PlayStation 4,2m 50.080s,https://youtu.be/8ua8CyFPqEg,,solo,2019-08-08,1,KingEPM,,,,http://www.speedrun.com/bo3zombies/run/y21vww9z,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PlayStation 4,2m 27.610s,https://youtu.be/kaPPrQBi0bM,,solo,2018-07-04,1,KingEPM,,,,http://www.speedrun.com/bo3zombies/run/y922wjvz,rejected
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=gq72yjp1,PlayStation 4,2m 41.470s,https://youtu.be/kaPPrQBi0bM,,solo,2018-07-03,1,KingEPM,,,,http://www.speedrun.com/bo3zombies/run/zq33585y,rejected
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PlayStation 4,2m 41.470s,https://youtu.be/A-SgDK8xweA,,solo,2018-07-03,1,KingEPM,,,,http://www.speedrun.com/bo3zombies/run/z1110jwz,rejected
