game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=rqvo0d7l; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,Xbox One S,23m 40.200s,https://youtu.be/pep_33TfX6U?si=9d1fpP-jcfRouRUW,,co-op,2023-10-27,2,NBSC_Aaron,OurKingZeno,,,http://www.speedrun.com/bocwz/run/m3kr02wy,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,Xbox One S,22m 41.340s,https://youtu.be/OVJAVJJ1-0A?si=XS9nqua9Ls05fa0R,,solo,2023-10-19,1,NBSC_Aaron,,,,http://www.speedrun.com/bocwz/run/yoo9e70y,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,Xbox One,24m 50.000s,https://www.twitch.tv/weedisaaron_2/v/1757627405?sr=a&t=8611s,,solo,2023-03-06,1,NBSC_Aaron,,,,http://www.speedrun.com/bocwz/run/znjxqwlm,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,Xbox One,28m 19.000s,https://youtu.be/opJd6yEs8h8,,solo,2022-09-15,1,NBSC_Aaron,,,,http://www.speedrun.com/bocwz/run/y6xo6n6y,verified
